標題,作者,推文,連結
[影片] 2025味全龍應援教學Ｘ龍軍入陣,NTUOnline,3,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746709256.A.B8C.html
[班表] Pilots Crew 5/17 班表&應援站位,bsp0919,,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746711833.A.CAF.html
[班表] Fubon Angels 5/10、14 班表,bsp0919,7,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746712182.A.655.html
[影片] 【網路獨播】一風堂CP真心話時間！一粒理,Sharonchens,,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746712202.A.298.html
[影片] 金渡娥一日店長 現場烤肉給粉絲吃,ps790605,12,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746714790.A.B16.html
[影片] 20250508 女王大人,cobras638,,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746730030.A.886.html
[商演] 嘎琳 合照活動,taihoo,4,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746749607.A.575.html
[新聞] 纏訟兩年！ 女神林岱縈合約官司結果出爐,Sharonchens,1,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746763500.A.BFB.html
[公告] 女孩商品交易文,ZaneTrout,12,https://www.ptt.cc/bbs/CheerGirlsTW/M.1644813158.A.40D.html
[公告] 真香板板規,wenhuanorman,,https://www.ptt.cc/bbs/CheerGirlsTW/M.1698077168.A.C69.html
[公告] 置底閒聊/黑特區,wenhuanorman,52,https://www.ptt.cc/bbs/CheerGirlsTW/M.1714278204.A.C48.html
[公告] PTT CheerGirlsTW板板主聲明,wenhuanorman,38,https://www.ptt.cc/bbs/CheerGirlsTW/M.1734880553.A.B07.html
[真香] 班表/商演 整理,JUNstudio,,https://www.ptt.cc/bbs/CheerGirlsTW/M.1743178062.A.689.html
[閒聊] 廉世彬因為健康問題 暫時中斷行程,yapot,36,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746591594.A.79C.html
[新聞] CT-李珠珢爆強佔C位？網翻出「球場飯拍片」,whj0530,41,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746594378.A.A56.html
[分享] threads 台鋼長公主Jenny,Sharonchens,36,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746597509.A.8E3.html
[影片] 凌晨2點練習後還有地方吃火鍋 這就是臺灣,rock123520,52,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746613043.A.FD2.html
[閒聊] 今日領航猿主場的韓國啦啦隊開播,colin79813,42,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746624075.A.985.html
[新聞] CT-溫妮衰捲C位糾紛！李珠珢被爆「哭鬧拒跳,kem0606,,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746624895.A.B69.html
[影片] 全中文拍片初體驗!真的太難了/我為什麼又,jerryyuan,18,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746625687.A.1C7.html
[影片] MIMI與粉絲慶祝來台一周年,tyrone0923,3,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746637703.A.C46.html
[商演] 樂天女孩3位 一日店長,taihoo,2,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746638871.A.76A.html
[影片] Talk一杯 EP258 李雅英,xFANx,3,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746641735.A.6A6.html
[閒聊] 李多慧是不是關注度變少了？,s910443ttw,86,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746665258.A.4D8.html
[影片] 蒲公英助養大使-李多慧,ashinly1021,19,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746689374.A.23E.html
[影片] 媽媽和韓國啦啦隊女兒一起征服台灣的,yapot,9,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746696368.A.EEB.html
[影片] 啦啦隊新人王對決！！自己的啦啦隊自己,jerryyuan,7,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746703307.A.CDA.html
[商演] 一日店長：南珉貞、趙娟週,tyrone0923,5,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746707715.A.000.html
[商演] 嘎琳 一日店長,taihoo,,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746709118.A.F43.html
[分享] 久違的桃園球場（環遊世界+彩虹派對）,wenhuanorman,18,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746381857.A.27E.html
[影片] 2018年河智媛新人年專訪,fakestar,39,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746405053.A.0CE.html
[影片] 20250504 綜藝大集合,cobras638,,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746430048.A.B88.html
[閒聊] 金渡娥/李雅英/南珉貞星期一晚上直播,colin79813,26,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746446769.A.981.html
[影片] 250505 11點熱吵店(Rakuten Girls),b90022790,16,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746465271.A.403.html
[影片] 20250505 同學來了,cobras638,1,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746469689.A.63D.html
[新聞] 啦啦隊女神禾羽「挨酸跳舞划水」　本人吐,Sharonchens,12,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746500907.A.6ED.html
[影片] 【壓軸】動搖的臺灣啦啦隊！野生啦啦隊和,Sharonchens,,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746503547.A.D04.html
[影片] 20250505 姑娘放肆 賴賴專訪(下),xFANx,1,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746505671.A.9B9.html
[影片] 最孤獨的小酒館 斐棋網路短劇ft.巫建和,xFANx,,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746507635.A.C48.html
[影片] 探索林襄的內心世界！職業帶給她的精彩人,jerryyuan,,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746509271.A.7EB.html
[商演] 安芝儇~一日店長,jerryyuan,4,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746509469.A.DB0.html
[影片] Mingo出席 WAVESHINE泳裝聯名活動,tyrone0923,18,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746524809.A.022.html
[分享] TPBL職籃年度啦啦隊票選,fack3170,2,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746527185.A.72E.html
[影片] TP12Ｘ河智媛工作花絮大公開,yapot,35,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746530370.A.5B1.html
[閒聊] 六位韓國啦啦隊浪開播,colin79813,44,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746534179.A.66A.html
[影片] TPBL年度啦啦隊投票-慕獅女孩+河智媛,fred23,2,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746546409.A.F15.html
[新聞] 狂粉要求Mingo合影遭拒！竟從記者會一路,tyrone0923,31,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746548408.A.D9D.html
[影片] 【野球乾一杯 EP.252】探班阿彬！商品竟,Sharonchens,10,https://www.ptt.cc/bbs/CheerGirlsTW/M.1746561020.A.90F.html
